# mirror design exported by jaxmirror
# angle of incidence: 0 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/MgF2/Franta, thickness 20 nm
# substrate: main/Al/Rakic
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
6.011500000000000909e+01,1.372379266483129967e-01,1.372379266483129967e-01,-1.922770712338663479e+00,1.218821941251129637e+00,-7.017212628677605302e-04,-7.017212628677605302e-04
6.071000000000000796e+01,1.356155197129291223e-01,1.356155197129291223e-01,-1.951727721720122766e+00,1.189864931869670572e+00,-6.333770501224798496e-03,-6.333770501224798496e-03
6.130500000000000682e+01,1.339884761571015215e-01,1.339884761571015215e-01,-1.980613742192278037e+00,1.160978911397515079e+00,-1.838952681691582124e-03,-1.838952681691582124e-03
6.190000000000000568e+01,1.321007065764851773e-01,1.321007065764851773e-01,-2.009188709476738222e+00,1.132403944113054894e+00,3.601367676517786085e-03,3.601367676517786085e-03
6.249500000000000455e+01,1.298241498114054704e-01,1.298241498114054704e-01,-2.036854330827999160e+00,1.104738322761793956e+00,1.417015231358197819e-02,1.417015231358197819e-02
6.309000000000000341e+01,1.271481391947098805e-01,1.271481391947098805e-01,-2.062902517906087585e+00,1.078690135683705753e+00,2.174361535165830056e-02,2.174361535165830056e-02
6.368500000000000227e+01,1.241411265191509905e-01,1.241411265191509905e-01,-2.086699104753355183e+00,1.054893548836438155e+00,3.096427431552288556e-02,3.096427431552288556e-02
6.428000000000000114e+01,1.209244149347674518e-01,1.209244149347674518e-01,-2.107712487590632566e+00,1.033880165999160550e+00,3.818494359794823156e-02,3.818494359794823156e-02
6.487500000000000000e+01,1.176455484802688550e-01,1.176455484802688550e-01,-2.125565413663230707e+00,1.016027239926562631e+00,4.392320088031209657e-02,4.392320088031209657e-02
6.546999999999999886e+01,1.144642223151323274e-01,1.144642223151323274e-01,-2.140044240024169486e+00,1.001548413565623630e+00,4.691541275647265891e-02,4.691541275647265891e-02
6.606499999999999773e+01,1.115401005400794288e-01,1.115401005400794288e-01,-2.151126044236605139e+00,9.904666093531881987e-01,4.658619484444756487e-02,4.658619484444756487e-02
6.665999999999999659e+01,1.090197096139545879e-01,1.090197096139545879e-01,-2.159010461647759005e+00,9.825821919420343331e-01,4.181339528403556910e-02,4.181339528403556910e-02
6.725499999999999545e+01,1.070258257046440703e-01,1.070258257046440703e-01,-2.164128917895384863e+00,9.774637356944083644e-01,3.378267931188656120e-02,3.378267931188656120e-02
6.785000000000000853e+01,1.056474049420337569e-01,1.056474049420337569e-01,-2.167128906320209936e+00,9.744637472695831804e-01,2.147276602358664729e-02,2.147276602358664729e-02
6.844500000000000739e+01,1.049280934456121583e-01,1.049280934456121583e-01,-2.168823083164642895e+00,9.727695704251502207e-01,6.883337915157236239e-03,6.883337915157236239e-03
6.904000000000000625e+01,1.048614435810481665e-01,1.048614435810481665e-01,-2.170093994806435056e+00,9.714986587833582821e-01,-8.214868555078348039e-03,-8.214868555078348039e-03
6.963500000000000512e+01,1.053888598280016964e-01,1.053888598280016964e-01,-2.171779698733530051e+00,9.698129548562633984e-01,-2.153749186731151663e-02,-2.153749186731151663e-02
7.023000000000000398e+01,1.064041153513378135e-01,1.064041153513378135e-01,-2.174559358508187490e+00,9.670332950816056261e-01,-3.088866617331448294e-02,-3.088866617331448294e-02
7.082500000000000284e+01,1.077616783595776034e-01,1.077616783595776034e-01,-2.178857750898162138e+00,9.627349026916313113e-01,-3.508976798786717088e-02,-3.508976798786717088e-02
7.142000000000000171e+01,1.092906783854026009e-01,1.092906783854026009e-01,-2.184779437720954398e+00,9.568132158688387179e-01,-3.114699753586059466e-02,-3.114699753586059466e-02
7.201500000000000057e+01,1.108187610054610500e-01,1.108187610054610500e-01,-2.192066822532979575e+00,9.495258310568135407e-01,-2.006349343978265989e-02,-2.006349343978265989e-02
7.261000000000001364e+01,1.122064096335432942e-01,1.122064096335432942e-01,-2.200110570986804959e+00,9.414820826029883793e-01,-4.959600105299970555e-04,-4.959600105299970555e-04
7.320499999999999829e+01,1.133925595630820293e-01,1.133925595630820293e-01,-2.208036136313935582e+00,9.335565172758577557e-01,2.108767679898464545e-02,2.108767679898464545e-02
7.380000000000001137e+01,1.144325728498497979e-01,1.144325728498497979e-01,-2.214922554130542398e+00,9.266700994592509399e-01,3.898122244333811909e-02,3.898122244333811909e-02
7.439499999999999602e+01,1.155057847863559806e-01,1.155057847863559806e-01,-2.220108055977141337e+00,9.214845976126520011e-01,4.364197709680640858e-02,4.364197709680640858e-02
7.499000000000000909e+01,1.168658726080119004e-01,1.168658726080119004e-01,-2.223488078794407574e+00,9.181045747953856528e-01,3.178910938132895742e-02,3.178910938132895742e-02
7.558499999999999375e+01,1.187554925427930785e-01,1.187554925427930785e-01,-2.225603720898602145e+00,9.159889326911909713e-01,6.649799978384801635e-03,6.649799978384801635e-03
